safe,attendance,bullying,GQ_20P,NTA,school_name,admissionsmethod_prog1,Borough,othersports,attendance_level,dance_offered,Manhattan,Bronx,Queens,Brooklyn,Staten
0.94,0.91,0.27,4,Mott Haven-Port Morris,Academy of Applied Mathematics and Technology,Open,BRONX,"Basketball, Soccer, Softball, Volleyball",medium,0,0,1,0,0,0
0.94,0.93,0.22,3.7,Fort Greene,Academy of Arts and Letters,Screened,BROOKLYN,NA,medium,0,0,0,0,1,0
0.82,0.94,0.33,6.9,Hunts Point,Accion Academy,Open,BRONX,NA,medium,0,0,1,0,0,0
0.9,0.97,0.2,0.9,Auburndale,Adrien Block (I.S. 25),Open,QUEENS,"Baseball, Basketball, Cheerleading, Running Club",high,0,0,0,1,0,0
0.84,0.89,0.4,1.2,Midwood,Andries Hudde,Open,BROOKLYN,NA,medium,0,0,0,0,1,0
0.87,0.91,0.29,2.4,Eastchester-Edenwald-Baychester,Baychester Middle School,Open,BRONX,"Basketball, Cheerleading, Cross Country, Dance, Fitness Club, Flag Football, Running Club, Soccer, Track and Field",medium,1,0,1,0,0,0
0.87,0.94,0.26,6.9,Hunts Point,Bronx Academy for Multi-Media,Open,BRONX,NA,medium,0,0,1,0,0,0
0.78,0.9,0.33,2.4,Eastchester-Edenwald-Baychester,Bronx Alliance Middle School,Open,BRONX,"Basketball, Cheerleading, Martial Arts, Running Club",medium,0,0,1,0,0,0
0.89,0.89,0.18,1.7,Norwood,Bronx Dance Academy School,Screened,BRONX,Dance,medium,1,0,1,0,0,0
0.92,0.92,0.23,3.6,Ocean Hill,Brooklyn Environmental Exploration School (BEES),Open,BROOKLYN,"Baseball, Basketball, Dance, Double Dutch, Flag Football, Kickball, Softball, Volleyball, Wrestling",medium,1,0,0,0,1,0
0.87,0.92,0.35,4.9,Brownsville,Brownsville Collaborative Middle School,Open,BROOKLYN,"Baseball, Basketball, Bowling, Boxing, Cheerleading, Cross Country, Dance, Double Dutch, Fitness Club, Golf, Martial Arts, Rugby, Running Club, Soccer, Softball, Step, Swimming, Table Tennis, Tennis, Track and Field, Volleyball, Wrestling, Yoga",medium,1,0,0,0,1,0
0.95,0.98,0.22,5.7,East Harlem South,Central Park East II,Open,MANHATTAN,"Basketball, Dance, Flag Football, Running Club, Soccer, Step, Yoga",high,1,1,0,0,0,0
0.93,0.83,0.26,5.6,Springfield Gardens South-Brookville,Collaborative Arts Middle School,Open,QUEENS,"Basketball, Cheerleading, Dance, Fitness Club",low,1,0,0,1,0,0
0.9,0.94,0.27,2,College Point,College Point Collaborative,Open,QUEENS,"Basketball, Cheerleading",medium,0,0,0,1,0,0
0.94,0.84,0.32,5.6,Springfield Gardens South-Brookville,Community Voices Middle School,Open,QUEENS,"Basketball, Fitness Club",low,0,0,0,1,0,0
0.84,0.94,0.35,2.2,Co-op City,Cornerstone Academy for Social Action Middle School (CASA),Open,BRONX,NA,medium,0,0,1,0,0,0
0.92,0.89,0.28,1.6,Crown Heights South,Ebbets Field Middle School,Open,BROOKLYN,"Basketball, Running Club, Soccer",medium,0,0,0,0,1,0
0.89,0.88,0.31,0.3,Prospect Heights,Elijah Stroud Middle School,Open,BROOKLYN,"Basketball, Cheerleading, Dance, Fitness Club, Track and Field, Yoga",medium,1,0,0,0,1,0
0.88,0.96,0.36,3.1,Crotona Park East,Emolior Academy,Open,BRONX,"Basketball, Cheerleading, Dance, Fitness Club, Kickball, Martial Arts, Soccer, Track and Field, Volleyball, Yoga",high,1,0,1,0,0,0
0.9,0.92,0.4,3.1,Crotona Park East,E.S.M.T - I.S.190,Open,BRONX,"Basketball, Cheerleading, Dance, Fitness Club",medium,1,0,1,0,0,0
0.92,0.92,0.28,3.1,Crotona Park East,Fannie Lou Hamer Middle School,Open,BRONX,Running Club,medium,0,0,1,0,0,0
0.97,0.97,0.13,1.1,South Ozone Park,Hawtree Creek Middle School,Open,QUEENS,"Dance, Step, Track and Field",high,1,0,0,1,0,0
0.87,0.94,0.33,2.9,Glen Oaks-Floral Park-New Hyde Park,Irwin Altman Middle School 172,Composite Score,QUEENS,"Baseball, Basketball, Fitness Club, Flag Football, Handball, Soccer, Volleyball",medium,0,0,0,1,0,0
1,0.83,0.43,1,St. Albans,I.S. 059 Springfield Gardens,Open,QUEENS,"Basketball, Dance, Double Dutch, Handball, Table Tennis",low,1,0,0,1,0,0
0.84,0.85,0.41,1.3,Canarsie,I.S. 068 Isaac Bildersee,Composite Score,BROOKLYN,"Basketball, Dance, Football, Soccer, Track and Field",medium,1,0,0,0,1,0
0.91,0.92,0.22,0.1,Ridgewood,I.S. 093 Ridgewood,Screened: Language,QUEENS,"Basketball, Cheerleading, Dance, Handball, Soccer, Volleyball",medium,1,0,0,1,0,0
0.91,0.94,0.26,2.2,Co-op City,I.S. 181 Pablo Casals,Open,BRONX,"Tennis, Track and Field, Wrestling",medium,0,0,1,0,0,0
0.88,0.85,0.42,3.6,Hollis,I.S. 192 The Linden,Open,QUEENS,"Baseball, Basketball, Dance, Fitness Club, Running Club, Soccer",medium,1,0,0,1,0,0
0.86,0.98,0.45,1.3,Canarsie,I.S. 211 John Wilson,Composite Score,BROOKLYN,NA,high,0,0,0,0,1,0
0.92,0.92,0.21,0.5,Jackson Heights,I.S. 230,Zoned,QUEENS,"Basketball, Cheerleading, Fitness Club, Martial Arts, Soccer, Volleyball",medium,0,0,0,1,0,0
0.83,0.79,0.48,3.3,Jamaica,I.S. 238-Susan B. Anthony Academy,Open,QUEENS,NA,low,0,0,0,1,0,0
0.85,0.9,0.35,2.7,Kew Gardens Hills,I.S. 250 The Robert F. Kennedy Community Middle School,Open,QUEENS,NA,medium,0,0,0,1,0,0
0.87,0.9,0.29,1.2,Midwood,I. S. 381,Composite Score,BROOKLYN,"Basketball, Dance, Fitness Club, Flag Football, Soccer, Track and Field, Volleyball",medium,1,0,0,0,1,0
0.83,0.93,0.22,4.9,Brownsville,I.S. 392,Screened,BROOKLYN,NA,medium,0,0,0,0,1,0
0.88,0.96,0.21,3.6,East Harlem North,Isaac Newton Middle School for Math & Science,Screened,MANHATTAN,"Basketball, Soccer",high,0,1,0,0,0,0
